run_id,dataset,outer_seed,model_seed,method,group_id,fault_id,windows,macro_f1,auprc,far,fault_recall,early_recall,detection_delay
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00013,,319,0.8930150309460654,0.9976607477517561,0.0,0.8390243902439024,0.8186813186813187,1083.0
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00016,,2007,0.23322168465450935,0.9204098339435182,0.4619347452776188,1.0,1.0,6.0
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00019,,34543,0.41579729832031226,0.819489336993076,0.5499793303017776,0.857448325017819,0.8675050633507607,51.0
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00020,,120,0.0,0.8134920634920635,1.0,1.0,1.0,21.0
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00029,,4488,0.6474671751212621,0.9816762673740194,0.0,0.9540740740740741,0.9933929265448892,59.0
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00011,,3529,0.3159238625812442,0.9888751033778245,0.0,0.9308118081180812,0.9145785876993167,382.46153846153845
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00013,,319,0.30278884462151395,0.9996264557240166,0.0,0.8878048780487805,0.8736263736263736,763.0
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00016,,2007,0.0,0.8193456824850093,1.0,1.0,1.0,6.0
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00019,,34543,0.2664358214638442,0.8366793414250592,1.0,0.999955452601568,0.9999528990626914,19.0
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00020,,120,0.0,0.8357142857142856,1.0,1.0,1.0,21.0
3w-outer31001-seed44-jitter,3W,31001,44,JITTER,WELL-00029,,4488,0.3756260434056761,0.9999033023170955,1.0,1.0,1.0,27.0
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00011,,3529,0.4316205268015647,0.9892664030816202,0.0,0.8404059040590406,0.8029612756264237,864.9230769230769
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00013,,319,0.8314642583011853,0.9977868886750617,0.0,0.7414634146341463,0.7087912087912088,1723.0
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00016,,2007,0.0,0.8210164240823847,1.0,1.0,1.0,6.0
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00019,,34543,0.4566065230865803,0.8351754288437473,0.6298470442331542,0.9789290805416964,0.9788045782111064,19.0
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00020,,120,0.0,0.8555555555555556,1.0,1.0,1.0,21.0
3w-outer31001-seed44-jitter_scaling,3W,31001,44,JITTER_SCALING,WELL-00029,,4488,0.9997676083172817,0.9999048084958927,0.0,0.9996296296296296,0.9996113486202876,59.0
3w-outer31001-seed44-no_aug,3W,31001,44,NO_AUG,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed44-no_aug,3W,31001,44,NO_AUG,WELL-00008,,31509,1.0,0.0,0.0,nan,,
