dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1,worst_outer_seed,worst_model_seed,worst_run_id
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,overall,ALL,15,0.9356602159708708,0.02516540496596658,0.9799197875708837,0.012651955532647611,0.014085655353258064,0.00743799998692028,0.8784849110395733,0.06165518040149572,0.8408333333333333,0.10788690065681429,87.15352534720955,12.184087070989529,0.9017028060391049,32001,2026,tep-outer32001-seed2026-autotcl
TEP,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,5,0.9452589858338267,0.0234102100473514,0.9826364124512125,0.012571781976226375,0.020562028786840304,0.01832085867666026,0.9054759898904802,0.029853291950894773,0.8574999999999999,0.05437859183539054,86.36923076923077,11.068644668885556,,,,
TEP,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,5,0.9255163593814082,0.012146129135676476,0.9784513259304317,0.009235423958443527,0.01284796573875803,0.006160841007006448,0.8561078348778433,0.024441505017004,0.8025,0.022360679774997918,93.40558704453443,6.8342023232564575,,,,
TEP,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,5,0.9751409173497969,0.0046057730339242675,0.9970748417604636,0.0010852333163271048,0.01869031377899045,0.005678487145502705,0.9682119205298013,0.006638019932691896,0.9862500000000001,0.010269797953221886,73.16,0.4560701700396567,,,,
TEP,DCBR,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.948638754188344,0.024984321363349857,0.9860541933807027,0.009770862568338146,0.017366769434862928,0.004023744450210657,0.9099319150993749,0.05618472174057495,0.8820833333333334,0.09430944190977562,84.31160593792173,10.278439261593647,0.9036541792384734,32001,2026,tep-outer32001-seed2026-dcbr
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,5,0.9430691420592643,0.02397275799778064,0.9820282937899851,0.012439639283477336,0.02193283070596299,0.015905142406953107,0.9024431339511374,0.03523457321381535,0.85125,0.06751735887903199,86.30758434547909,10.103810158131159,,,,
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,5,0.9259185415465272,0.012016765189838782,0.97849747844173,0.009512230392653859,0.015988579586009993,0.006173232922323955,0.8604886267902275,0.022341873564316567,0.8099999999999999,0.020058508169851528,93.36564102564103,6.350839399499725,,,,
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,5,0.9759852389584758,0.005560162976085062,0.997122284682588,0.0011396018371767009,0.020600272851296043,0.005422812254939097,0.9723509933774835,0.008165626023614354,0.99,0.00947859430506445,72.92,0.334664010613635,,,,
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.9483243075214224,0.02544368527672238,0.9858826856381011,0.009892578241615933,0.01950722771442301,0.003119229247377781,0.9117609180396161,0.05651029189329182,0.88375,0.09429839606271151,84.19774179037337,10.384827198506727,0.901168684507708,32001,2026,tep-outer32001-seed2026-final_qdiffcl
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,5,0.9529926094261534,0.011576416203643292,0.989159148822079,0.0041686067513929,0.01151473612063057,0.004263833040437502,0.9113732097725358,0.023509011498444064,0.8612500000000001,0.051425006076810546,83.15001349527665,3.742929006108757,,,,
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,5,0.9310461579962628,0.012530361453886679,0.9843846882430919,0.009805014916127978,0.0074232690935046395,0.00670721482417331,0.8614995787700085,0.019198108523841184,0.8037500000000002,0.038679371116914496,99.26372469635626,7.289548303476794,,,,
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,5,0.9646595957430589,0.0078344940584687,0.9949237277533018,0.0018839438179114312,0.030695770804911322,0.011854124963835448,0.9597682119205297,0.009593367288621295,0.95875,0.016886570107632854,75.16,1.152388823271033,,,,
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.9495661210551584,0.01706667560501629,0.9894891882728242,0.00527726567255504,0.016544592006348845,0.012424850970944392,0.9108803334876914,0.04913617059348493,0.8745833333333334,0.07835549331944326,85.8579127305443,12.277903923744724,0.909875366568915,32002,2026,tep-outer32002-seed2026-frera
TEP,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,5,0.9423523304936083,0.022302178847095393,0.9817177347730135,0.01202922758648539,0.019465387251542152,0.01763892386275218,0.897893850042123,0.02747633866163672,0.8425,0.051043792472738554,88.02755735492579,10.495191813401805,,,,
TEP,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,5,0.925291182341849,0.010991104168672688,0.9784467459927229,0.009458072569742921,0.01270521056388294,0.006982610764537101,0.8554338668913225,0.018123662085290426,0.7975,0.023634588001486306,93.46475033738191,8.119721140959884,,,,
TEP,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,5,0.9732654489423377,0.006904023192173084,0.9968381305296864,0.0012908414727544892,0.022100954979536153,0.012884822868341167,0.9682119205298013,0.008694023743785514,0.985,0.00559016994374951,73.16,0.4560701700396567,,,,
TEP,JITTER,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.9469696539259317,0.024318147970655617,0.9856675370984743,0.009811292478785698,0.018090517598320414,0.004846411373746783,0.9071798791544157,0.05695959180091322,0.875,0.09788385975225947,84.88410256410256,10.511027665376725,0.9031954652964256,32001,2026,tep-outer32001-seed2026-jitter
TEP,JITTER_SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,5,0.9442883019623627,0.02157443492881707,0.9822376585452763,0.012098833712041929,0.01644962302947224,0.009920572190630656,0.8985678180286436,0.03545645748735574,0.8474999999999999,0.06681948630452045,86.64226720647773,9.939980385663096,,,,
