dataset,channel,frequency_bin,domain_score,domain_mask,fault_mask,quadrant
3W,9,3,0.0,0.22206896543502808,0.43928262591362,fault_low_domain_low
3W,9,4,0.0,0.22206896543502808,0.43669450283050537,fault_low_domain_low
3W,9,5,0.0,0.22206896543502808,0.418474942445755,fault_low_domain_low
3W,9,6,0.0,0.22206896543502808,0.4131980240345001,fault_low_domain_low
3W,9,7,0.0,0.22206896543502808,0.4194328188896179,fault_low_domain_low
3W,9,8,0.0,0.22206896543502808,0.4249055087566376,fault_low_domain_low
3W,9,9,0.0,0.22206896543502808,0.4837753176689148,fault_low_domain_low
3W,9,10,0.0,0.22206896543502808,0.44363316893577576,fault_low_domain_low
3W,9,11,0.0,0.22206896543502808,0.7358497381210327,fault_high_domain_low
3W,9,12,0.0,0.22206896543502808,0.4812339246273041,fault_low_domain_low
3W,9,13,0.0,0.22206896543502808,0.3929777443408966,fault_low_domain_low
3W,9,14,0.0,0.22206896543502808,0.7363876700401306,fault_high_domain_low
3W,9,15,0.0,0.22206896543502808,0.4108855724334717,fault_low_domain_low
3W,9,16,0.0,0.22206896543502808,0.4249055087566376,fault_low_domain_low
3W,9,17,0.0,0.22206896543502808,0.47787967324256897,fault_low_domain_low
3W,9,18,0.0,0.22206896543502808,0.414634644985199,fault_low_domain_low
3W,9,19,0.0,0.22206896543502808,0.46984827518463135,fault_low_domain_low
3W,9,20,0.0,0.22206896543502808,0.40417996048927307,fault_low_domain_low
3W,9,21,0.0,0.22206896543502808,0.5084747672080994,fault_high_domain_low
3W,9,22,0.0,0.22206896543502808,0.40860435366630554,fault_low_domain_low
3W,9,23,0.0,0.22206896543502808,0.4103601276874542,fault_low_domain_low
3W,9,24,0.0,0.22206896543502808,0.4249055087566376,fault_low_domain_low
3W,9,25,0.0,0.22206896543502808,0.4117843508720398,fault_low_domain_low
3W,9,26,0.0,0.22206896543502808,0.4265260100364685,fault_low_domain_low
3W,9,27,0.0,0.22206896543502808,0.41728323698043823,fault_low_domain_low
3W,9,28,0.0,0.22206896543502808,0.42617908120155334,fault_low_domain_low
3W,9,29,0.0,0.22206896543502808,0.41293013095855713,fault_low_domain_low
3W,9,30,0.0,0.22206896543502808,0.4567314684391022,fault_low_domain_low
3W,9,31,0.0,0.22206896543502808,0.428532212972641,fault_low_domain_low
3W,9,32,0.0,0.22206896543502808,0.4249055087566376,fault_low_domain_low
3W,10,0,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,1,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,2,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,3,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,4,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,5,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,6,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,7,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,8,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,9,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,10,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,11,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,12,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,13,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,14,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,15,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,16,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,17,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,18,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,19,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,20,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,21,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,22,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,23,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,24,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,25,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,26,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,27,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,28,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,29,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,30,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,31,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,10,32,0.0,0.22206896543502808,0.2882382273674011,fault_low_domain_low
3W,11,0,0.9781716465950012,0.9862068891525269,0.5078226923942566,fault_high_domain_high
3W,11,1,0.3390563130378723,0.6372413635253906,0.5894230604171753,fault_high_domain_high
3W,11,2,0.34397730231285095,0.6386206746101379,0.5076372027397156,fault_high_domain_high
3W,11,3,0.3016311824321747,0.6289654970169067,0.5244854092597961,fault_high_domain_high
3W,11,4,0.2594110667705536,0.6041379570960999,0.5113848447799683,fault_high_domain_high
3W,11,5,0.24537578225135803,0.5779310464859009,0.5250905752182007,fault_high_domain_high
3W,11,6,0.22223837673664093,0.5724138021469116,0.532216489315033,fault_high_domain_high
3W,11,7,0.21969956159591675,0.5710344910621643,0.5380289554595947,fault_high_domain_high
3W,11,8,0.20420120656490326,0.5586206912994385,0.5295822620391846,fault_high_domain_high
3W,11,9,0.21777498722076416,0.569655179977417,0.5456144213676453,fault_high_domain_high
3W,11,10,0.21160945296287537,0.5627586245536804,0.5522774457931519,fault_high_domain_high
3W,11,11,0.19947630167007446,0.543448269367218,0.5496854782104492,fault_high_domain_high
3W,11,12,0.20878224074840546,0.5613793134689331,0.5587419271469116,fault_high_domain_high
