dataset,split,group_type,group,metric,count,mean,std,min,p05,p25,median,p75,p95,max
3W,train,fault_type,2,safe_capacity,495,0.1385078118756564,0.10117103957808586,0.08349686861038208,0.08492225185036659,0.09010060131549835,0.10244297981262207,0.14923810958862305,0.31341294646263107,0.6490821838378906
3W,train,fault_type,2,rho,495,0.1385078118756564,0.10117103957808586,0.08349686861038208,0.08492225185036659,0.09010060131549835,0.10244297981262207,0.14923810958862305,0.31341294646263107,0.6490821838378906
3W,train,fault_type,8,critical_energy_ratio,4000,0.6587935517951846,0.21645662924829648,0.2947671413421631,0.3658358171582222,0.3735072910785675,0.6709405779838562,0.8436225801706314,0.9533851861953735,0.964914858341217
3W,train,fault_type,8,safe_capacity,4000,0.3412064482131973,0.21645662872016877,0.03508513793349266,0.046614824794232845,0.1563773937523365,0.3290593922138214,0.6264926940202713,0.6341641843318939,0.7052328586578369
3W,train,fault_type,8,rho,4000,0.3412064482131973,0.21645662872016877,0.03508513793349266,0.046614824794232845,0.1563773937523365,0.3290593922138214,0.6264926940202713,0.6341641843318939,0.7052328586578369
3W,train,fault_type,9,critical_energy_ratio,3660,0.5007497778844312,0.1032824981529828,0.4175667464733124,0.42939097583293917,0.45040325820446014,0.4606733173131943,0.46728547662496567,0.7813165187835693,0.7830381989479065
3W,train,fault_type,9,safe_capacity,3660,0.4992502226000601,0.10328249801823726,0.2169618308544159,0.21868349611759186,0.5327145159244537,0.5393266975879669,0.5495967417955399,0.5706089943647384,0.58243328332901
3W,train,fault_type,9,rho,3660,0.4992502226000601,0.10328249801823726,0.2169618308544159,0.21868349611759186,0.5327145159244537,0.5393266975879669,0.5495967417955399,0.5706089943647384,0.58243328332901
TEP,train,all,all,critical_energy_ratio,6704,0.3977315733275934,0.06170012688768765,0.3365182876586914,0.3496293559670448,0.3593725189566612,0.3702133446931839,0.39568260312080383,0.5400428175926208,0.5933168530464172
TEP,train,all,all,safe_capacity,6704,0.6022684266235065,0.06170012659266698,0.40668314695358276,0.4599571779370308,0.6043174117803574,0.6297866702079773,0.6406274735927582,0.6503706693649292,0.6634817123413086
TEP,train,all,all,rho,6704,0.6022684266235065,0.06170012659266698,0.40668314695358276,0.4599571779370308,0.6043174117803574,0.6297866702079773,0.6406274735927582,0.6503706693649292,0.6634817123413086
TEP,train,stage,early,critical_energy_ratio,480,0.4352883175636331,0.07438391119153367,0.3368704319000244,0.34697931855916975,0.36551257967948914,0.40632908046245575,0.5100823938846588,0.5464243918657303,0.5566399097442627
TEP,train,stage,early,safe_capacity,480,0.564711684299012,0.07438391014901184,0.4433600902557373,0.4535756081342697,0.4899176135659218,0.5936709046363831,0.6344874352216721,0.6530206829309464,0.6631295680999756
TEP,train,stage,early,rho,480,0.564711684299012,0.07438391014901184,0.4433600902557373,0.4535756081342697,0.4899176135659218,0.5936709046363831,0.6344874352216721,0.6530206829309464,0.6631295680999756
TEP,train,stage,mature,critical_energy_ratio,2640,0.4343414488615412,0.07417855584805509,0.3365182876586914,0.3480025514960289,0.3674415722489357,0.40169043838977814,0.5029740482568741,0.560007107257843,0.5933168530464172
TEP,train,stage,mature,safe_capacity,2640,0.5656585508336623,0.07417855568241269,0.40668314695358276,0.43999292254447936,0.4970259517431259,0.5983095467090607,0.6325584053993225,0.6519974768161774,0.6634817123413086
TEP,train,stage,mature,rho,2640,0.5656585508336623,0.07417855568241269,0.40668314695358276,0.43999292254447936,0.4970259517431259,0.5983095467090607,0.6325584053993225,0.6519974768161774,0.6634817123413086
